id,title,company,canonical_company,role_family,location,remote,experience_level,compensation,tech_stack,job_url,posted_date,freshness_label,is_within_24h,discovered_at,source_url,collected_at
job-3de8ed4d,Engineering Manager - EU,Ashby,Ashby,Software Engineering,Europe,1,Director,Competitive Market Rate,"[""Software Engineering""]",https://jobicy.com/jobs/150687-engineering-manager-eu,2026-08-15T05:54:40+00:00,4h ago,1,2026-08-15T09:54:58.605992+00:00,https://jobicy.com/jobs/150687-engineering-manager-eu,2026-08-15T09:54:58.605992+00:00
job-b661a268,Senior Software Engineer - Data Platform,Samsara,Samsara,Data Science,USA,1,Senior,Competitive Market Rate,"[""Software Engineering""]",https://jobicy.com/jobs/145935-senior-software-engineer-data-platform-2,2026-08-15T04:50:07+00:00,5h ago,1,2026-08-15T09:54:58.607352+00:00,https://jobicy.com/jobs/145935-senior-software-engineer-data-platform-2,2026-08-15T09:54:58.607352+00:00
job-ad72c931,Customer Solutions Architect,Fivetran,Fivetran,Software Engineering,Japan,1,Senior,Competitive Market Rate,"[""Software Engineering""]",https://jobicy.com/jobs/145996-customer-solutions-architect-2,2026-08-15T04:45:03+00:00,5h ago,1,2026-08-15T09:54:58.608082+00:00,https://jobicy.com/jobs/145996-customer-solutions-architect-2,2026-08-15T09:54:58.608082+00:00
job-588262b1,Staff Software Developer,Varicent,Varicent,Software Engineering,Canada,1,Senior,Competitive Market Rate,"[""Software Engineering""]",https://jobicy.com/jobs/146085-staff-software-developer-2,2026-08-15T04:35:05+00:00,5h ago,1,2026-08-15T09:54:58.608513+00:00,https://jobicy.com/jobs/146085-staff-software-developer-2,2026-08-15T09:54:58.608513+00:00
job-a930e247,"Python & React Engineer with AI (Remote, Latam)",Kubikware,Kubikware,AI / ML Engineering,LATAM,1,Senior,Competitive Market Rate,"[""Software Engineering""]",https://jobicy.com/jobs/146122-python-react-engineer-with-ai-remote-latam-2,2026-08-15T04:30:02+00:00,5h ago,1,2026-08-15T09:54:58.608930+00:00,https://jobicy.com/jobs/146122-python-react-engineer-with-ai-remote-latam-2,2026-08-15T09:54:58.608930+00:00
job-f7ad71ef,Lead Data Platform Engineer,saas.group,Saasgroup,Data Science,Europe,1,Senior,Competitive Market Rate,"[""Software Engineering""]",https://jobicy.com/jobs/146232-lead-data-platform-engineer,2026-08-15T04:25:04+00:00,5h ago,1,2026-08-15T09:54:58.609343+00:00,https://jobicy.com/jobs/146232-lead-data-platform-engineer,2026-08-15T09:54:58.609343+00:00
job-57d05746,Senior SDET - GovTech Industry (Colombia),Truelogic,Truelogic,Software Engineering,LATAM,1,Senior,Competitive Market Rate,"[""QA &amp; Testing""]",https://jobicy.com/jobs/146269-senior-sdet-govtech-industry-colombia,2026-08-15T04:20:11+00:00,5h ago,1,2026-08-15T09:54:58.609762+00:00,https://jobicy.com/jobs/146269-senior-sdet-govtech-industry-colombia,2026-08-15T09:54:58.609762+00:00
job-aa4c0a9b,Senior Full-stack Engineer (Elixir/React) – veterinary software company - (Remote - LATAM),Truelogic,Truelogic,Software Engineering,LATAM,1,Senior,Competitive Market Rate,"[""Software Engineering""]",https://jobicy.com/jobs/146276-senior-full-stack-engineer-elixir-react-veterinary-software-company-remote-latam,2026-08-15T04:20:09+00:00,5h ago,1,2026-08-15T09:54:58.610200+00:00,https://jobicy.com/jobs/146276-senior-full-stack-engineer-elixir-react-veterinary-software-company-remote-latam,2026-08-15T09:54:58.610200+00:00
job-e78d48c3,Senior Full-Stack Engineer (TypeScript/AI Automation) - Real Estate - LATAM,Truelogic,Truelogic,AI / ML Engineering,LATAM,1,Senior,Competitive Market Rate,"[""Software Engineering""]",https://jobicy.com/jobs/146294-senior-full-stack-engineer-typescript-ai-automation-real-estate-latam,2026-08-15T04:15:05+00:00,5h ago,1,2026-08-15T09:54:58.610626+00:00,https://jobicy.com/jobs/146294-senior-full-stack-engineer-typescript-ai-automation-real-estate-latam,2026-08-15T09:54:58.610626+00:00
job-743e17f8,IT Software Asset Management Analyst,DoorDash,DoorDash,Software Engineering,USA,1,Midweight,Competitive Market Rate,"[""Data Science &amp; Analytics""]",https://jobicy.com/jobs/146432-it-software-asset-management-analyst,2026-08-15T04:05:07+00:00,5h ago,1,2026-08-15T09:54:58.635270+00:00,https://jobicy.com/jobs/146432-it-software-asset-management-analyst,2026-08-15T09:54:58.635270+00:00
job-b9f9e1b6,Garment Manufacturing QC Specialist - Freelance AI Trainer Project,Invisible Technologies,Invisible,AI / ML Engineering,LATAM,1,Senior,Competitive Market Rate,"[""QA &amp; Testing""]",https://jobicy.com/jobs/149301-garment-manufacturing-qc-specialist-freelance-ai-trainer-project,2026-08-15T04:05:03+00:00,5h ago,1,2026-08-15T09:54:58.611095+00:00,https://jobicy.com/jobs/149301-garment-manufacturing-qc-specialist-freelance-ai-trainer-project,2026-08-15T09:54:58.611095+00:00
